Vertex 1,Vertex 2,Bond Strength
Brownback,Durbin,0.422
Brownback,Ensign,0.87
Brownback,Enzi,0.807
Brownback,Feingold,0.422
Brownback,Feinstein,0.441
Brownback,Graham,0.87
Brownback,Grassley,0.901
Brownback,Gregg,0.807
Brownback,Hagel,0.814
Brownback,Harkin,0.447
Brownback,Hatch,0.857
Brownback,Hutchison,0.845
Brownback,Inhofe,0.801
Brownback,Inouye,0.373
Brownback,Isakson,0.913
Brownback,Kennedy,0.441
Brownback,Kerry,0.41
Brownback,Klobuchar,0.46
Brownback,Kohl,0.46
Brownback,Kyl,0.845
Brownback,Landrieu,0.503
Brownback,Lautenberg,0.41
Brownback,Leahy,0.441
Brownback,Levin,0.435
Brownback,Lieberman,0.509
Brownback,Lincoln,0.491
Brownback,Lott,0.863
Brownback,Lugar,0.851
Brownback,Martinez,0.863
Brownback,McCain,0.642
Brownback,McCaskill,0.497
Brownback,Menendez,0.404
Brownback,Mikulski,0.435
Brownback,Murkowski,0.832
Brownback,Murray,0.429
Brownback,Nelson (FL),0.447
Brownback,Nelson (NE),0.578
Brownback,Obama,0.366
Brownback,Pryor,0.534
Brownback,Reed,0.441
Brownback,Reid,0.46
Brownback,Roberts,0.876
Brownback,Rockefeller,0.453
Brownback,Salazar,0.509
Brownback,Sanders,0.429
Brownback,Schumer,0.404
Brownback,Sessions,0.857
Brownback,Shelby,0.87
Brownback,Smith,0.752
Brownback,Snowe,0.714
Brownback,Specter,0.745
Brownback,Stabenow,0.422
Brownback,Stevens,0.776
Brownback,Sununu,0.826
Brownback,Tester,0.484
Brownback,Thune,0.882
Brownback,Vitter,0.783
Brownback,Voinovich,0.764
Brownback,Warner,0.857
Brownback,Webb,0.472
Brownback,Whitehouse,0.435
Brownback,Wyden,0.453
Bunning,Burr,0.879
Bunning,Byrd,0.453
Bunning,Cantwell,0.384
Bunning,Cardin,0.391
Bunning,Carper,0.426
Bunning,Casey,0.374
Bunning,Chambliss,0.888
Bunning,Clinton,0.364
Bunning,Coburn,0.821
Bunning,Cochran,0.826
Bunning,Coleman,0.702
Bunning,Collins,0.626
Bunning,Conrad,0.434
Bunning,Corker,0.831
Bunning,Cornyn,0.872
Bunning,Craig,0.827
Bunning,Crapo,0.865
Bunning,DeMint,0.866
Bunning,Dodd,0.344
Bunning,Dole,0.875
Bunning,Domenici,0.762
Bunning,Dorgan,0.467
Bunning,Durbin,0.364
Bunning,Ensign,0.851
Bunning,Enzi,0.903
Bunning,Feingold,0.362
Bunning,Feinstein,0.395
Bunning,Graham,0.797
Bunning,Grassley,0.807
Bunning,Gregg,0.798
Bunning,Hagel,0.723
Bunning,Harkin,0.38
Bunning,Hatch,0.858
Bunning,Hutchison,0.838
Bunning,Inhofe,0.863
Bunning,Isakson,0.868
Bunning,Kennedy,0.396
Bunning,Kerry,0.382
Bunning,Klobuchar,0.391
Bunning,Kohl,0.383
Bunning,Kyl,0.811
Bunning,Landrieu,0.488
Bunning,Lautenberg,0.378
Bunning,Leahy,0.383
Bunning,Levin,0.388
Bunning,Lieberman,0.426
Bunning,Lincoln,0.436
Bunning,Lott,0.833
Bunning,Lugar,0.704
Bunning,Martinez,0.801
Bunning,McCain,0.808
Bunning,McCaskill,0.469
Bunning,McConnell,0.872
Bunning,Menendez,0.374
Bunning,Mikulski,0.395
Bunning,Murkowski,0.775
Bunning,Murray,0.391
Bunning,Nelson (FL),0.39
Bunning,Nelson (NE),0.551
Bunning,Obama,0.355
Bunning,Pryor,0.51
Bunning,Reed,0.391
Bunning,Reid,0.403
Bunning,Roberts,0.838
Bunning,Rockefeller,0.435
Bunning,Salazar,0.428
Bunning,Sanders,0.391
Bunning,Schumer,0.374
Bunning,Sessions,0.861
Bunning,Shelby,0.848
Bunning,Smith,0.679
Bunning,Snowe,0.584
Bunning,Specter,0.616
Bunning,Stabenow,0.407
Bunning,Stevens,0.758
Bunning,Sununu,0.843
Bunning,Tester,0.465
Bunning,Thune,0.827
Bunning,Vitter,0.858
Bunning,Voinovich,0.709
Bunning,Warner,0.748
Bunning,Webb,0.42
Bunning,Whitehouse,0.37
Bunning,Wyden,0.383
Burr,Byrd,0.435
Burr,Cantwell,0.41
Burr,Cardin,0.397
Burr,Carper,0.435
Burr,Casey,0.381
Burr,Chambliss,0.925
Burr,Clinton,0.368
Burr,Coburn,0.835
Burr,Coleman,0.72
Burr,Collins,0.653
Burr,Conrad,0.427
Burr,Corker,0.858
Burr,Cornyn,0.912
Burr,Craig,0.837
Burr,Crapo,0.826
Burr,DeMint,0.849
Burr,Dodd,0.328
Burr,Dole,0.888
Burr,Domenici,0.77
Burr,Dorgan,0.444
Burr,Durbin,0.381
Burr,Ensign,0.898
Burr,Enzi,0.854
Burr,Feingold,0.393
Burr,Feinstein,0.41
Burr,Graham,0.827
Burr,Grassley,0.833
Burr,Gregg,0.828
Burr,Hagel,0.74
Burr,Harkin,0.377
Burr,Hatch,0.828
Burr,Hutchison,0.862
Burr,Inhofe,0.863
Burr,Inouye,0.341
Burr,Isakson,0.929
Burr,Kennedy,0.406
Burr,Kerry,0.403
Burr,Klobuchar,0.389
Burr,Kohl,0.389
Burr,Kyl,0.853
Burr,Landrieu,0.506
Burr,Lautenberg,0.377
Burr,Leahy,0.381
Burr,Levin,0.393
Burr,Lieberman,0.448
Burr,Lincoln,0.431
Burr,Lott,0.854
Burr,Lugar,0.757
Burr,Martinez,0.841
Burr,McCain,0.883
Burr,McCaskill,0.494
Burr,McConnell,0.904
Burr,Menendez,0.381
Burr,Mikulski,0.41
Burr,Murkowski,0.808
Burr,Murray,0.397
Burr,Nelson (FL),0.423
Burr,Nelson (NE),0.527
Burr,Obama,0.364
Burr,Pryor,0.502
Burr,Reed,0.381
Burr,Reid,0.41
Burr,Roberts,0.826
Burr,Rockefeller,0.418
Burr,Salazar,0.435
Burr,Sanders,0.372
Burr,Schumer,0.383
Burr,Sessions,0.81
Burr,Shelby,0.837
Burr,Smith,0.699
Burr,Snowe,0.603
Burr,Specter,0.665
Burr,Stevens,0.784
Burr,Sununu,0.828
Burr,Tester,0.448
Burr,Thune,0.854
Burr,Vitter,0.844
Burr,Voinovich,0.734
Burr,Warner,0.799
Burr,Webb,0.435
Burr,Whitehouse,0.368
Burr,Wyden,0.381
Byrd,Cantwell,0.806
Byrd,Cardin,0.844
Byrd,Carper,0.835
Byrd,Casey,0.844
Byrd,Chambliss,0.454
Byrd,Clinton,0.849
Byrd,Coburn,0.377
Byrd,Cochran,0.535
Byrd,Coleman,0.645
Byrd,Collins,0.676
Byrd,Conrad,0.876
Byrd,Corker,0.547
Byrd,Cornyn,0.436
Byrd,Craig,0.49
Byrd,Crapo,0.5
Byrd,DeMint,0.387
Byrd,Dodd,0.885
Byrd,Dole,0.461
Byrd,Domenici,0.519
Byrd,Dorgan,0.888
Byrd,Durbin,0.851
Byrd,Ensign,0.43
Byrd,Enzi,0.447
Byrd,Feingold,0.807
Byrd,Feinstein,0.84
Byrd,Graham,0.426
Byrd,Grassley,0.537
Byrd,Gregg,0.433
Byrd,Hagel,0.489
Byrd,Harkin,0.843
Byrd,Hatch,0.49
Byrd,Hutchison,0.492
Byrd,Inhofe,0.408
Byrd,Inouye,0.862
Byrd,Isakson,0.477
Byrd,Kennedy,0.838
Byrd,Kerry,0.833
Byrd,Klobuchar,0.885
Byrd,Kohl,0.852
Byrd,Kyl,0.403
Byrd,Landrieu,0.826
Byrd,Lautenberg,0.834
Byrd,Leahy,0.84
Byrd,Levin,0.851
Byrd,Lieberman,0.793
Byrd,Lincoln,0.83
Byrd,Lott,0.483
Byrd,Lugar,0.578
Byrd,Martinez,0.452
Byrd,McCain,0.442
Byrd,McCaskill,0.832
Byrd,McConnell,0.496
Byrd,Menendez,0.828
Byrd,Mikulski,0.832
Byrd,Murkowski,0.592
Byrd,Murray,0.84
Byrd,Nelson (FL),0.834
Byrd,Nelson (NE),0.828
Byrd,Obama,0.82
Byrd,Pryor,0.873
Byrd,Reed,0.856
Byrd,Reid,0.857
Byrd,Roberts,0.511
Byrd,Rockefeller,0.897
Byrd,Salazar,0.848
Byrd,Sanders,0.864
Byrd,Schumer,0.838
Byrd,Sessions,0.506
Byrd,Shelby,0.533
Byrd,Smith,0.654
Byrd,Snowe,0.717
Byrd,Specter,0.632
Byrd,Stabenow,0.864
Byrd,Stevens,0.606
Byrd,Sununu,0.512
Byrd,Tester,0.877
Byrd,Thune,0.556
Byrd,Warner,0.533
Byrd,Webb,0.84
Byrd,Whitehouse,0.861
Byrd,Wyden,0.852
Cantwell,Cardin,0.93
Cantwell,Carper,0.893
Cantwell,Casey,0.926
Cantwell,Chambliss,0.417
Cantwell,Clinton,0.921
Cantwell,Coburn,0.34
Cantwell,Cochran,0.481
Cantwell,Coleman,0.612
Cantwell,Collins,0.698
Cantwell,Conrad,0.868
Cantwell,Corker,0.467
Cantwell,Cornyn,0.409
Cantwell,Craig,0.475
Cantwell,Crapo,0.439
Cantwell,DeMint,0.34
Cantwell,Dodd,0.891
Cantwell,Dole,0.409
Cantwell,Domenici,0.54
Cantwell,Dorgan,0.818
Cantwell,Durbin,0.926
Cantwell,Ensign,0.396
Cantwell,Enzi,0.381
Cantwell,Feingold,0.888
Cantwell,Feinstein,0.926
Cantwell,Graham,0.477
Cantwell,Grassley,0.475
Cantwell,Gregg,0.424
Cantwell,Hagel,0.537
Cantwell,Harkin,0.917
Cantwell,Hatch,0.444
Cantwell,Hutchison,0.458
Cantwell,Inhofe,0.356
Cantwell,Inouye,0.912
Cantwell,Isakson,0.438
Cantwell,Kennedy,0.904
Cantwell,Kerry,0.948
Cantwell,Klobuchar,0.909
Cantwell,Kohl,0.917
Cantwell,Kyl,0.441
Cantwell,Landrieu,0.835
Cantwell,Lautenberg,0.95
Cantwell,Leahy,0.905
Cantwell,Levin,0.905
Cantwell,Lincoln,0.88
Cantwell,Lott,0.429
Cantwell,Lugar,0.579
Cantwell,Martinez,0.49
Cantwell,McCain,0.508
Cantwell,McCaskill,0.806
Cantwell,McConnell,0.446
Cantwell,Menendez,0.959
Cantwell,Mikulski,0.938
Cantwell,Murkowski,0.542
Cantwell,Murray,0.955
Cantwell,Nelson (FL),0.929
Cantwell,Nelson (NE),0.769
Cantwell,Obama,0.945
Cantwell,Pryor,0.814
Cantwell,Reed,0.921
Cantwell,Reid,0.888
Cantwell,Roberts,0.438
Cantwell,Rockefeller,0.841
Cantwell,Salazar,0.905
Cantwell,Sanders,0.872
Cantwell,Schumer,0.94
Cantwell,Sessions,0.409
Cantwell,Shelby,0.463
Cantwell,Smith,0.628
Cantwell,Snowe,0.748
Cantwell,Specter,0.674
Cantwell,Stabenow,0.893
Cantwell,Stevens,0.554
Cantwell,Sununu,0.446
Cantwell,Tester,0.826
Cantwell,Thune,0.459
Cantwell,Vitter,0.387
Cantwell,Voinovich,0.574
Cantwell,Warner,0.55
Cantwell,Webb,0.88
Cantwell,Whitehouse,0.93
Cantwell,Wyden,0.942
Cardin,Carper,0.901
Cardin,Casey,0.947
Cardin,Chambliss,0.408
Cardin,Clinton,0.946
Cardin,Coburn,0.316
Cardin,Cochran,0.473
Cardin,Coleman,0.599
Cardin,Collins,0.687
Cardin,Conrad,0.901
Cardin,Corker,0.453
Cardin,Cornyn,0.383
Cardin,Crapo,0.422
Cardin,DeMint,0.328
Cardin,Dodd,0.923
Cardin,Dole,0.405
Cardin,Domenici,0.523
Cardin,Dorgan,0.855
Cardin,Durbin,0.95
Cardin,Ensign,0.366
Cardin,Enzi,0.367
Cardin,Feingold,0.893
Cardin,Feinstein,0.938
Cardin,Graham,0.43
Cardin,Grassley,0.469
Cardin,Gregg,0.403
Cardin,Hagel,0.511
Cardin,Harkin,0.926
Cardin,Hatch,0.431
Cardin,Inhofe,0.356
Cardin,Inouye,0.931
Cardin,Isakson,0.432
Cardin,Kennedy,0.904
Cardin,Kerry,0.918
Cardin,Klobuchar,0.938
Cardin,Kohl,0.938
Cardin,Kyl,0.416
Cardin,Landrieu,0.826
Cardin,Lautenberg,0.95
Cardin,Leahy,0.93
Cardin,Lieberman,0.86
Cardin,Lincoln,0.896
Cardin,Lott,0.433
Cardin,Lugar,0.572
Cardin,Martinez,0.456
Cardin,McCain,0.483
Cardin,McCaskill,0.819
Cardin,McConnell,0.42
Cardin,Menendez,0.947
Cardin,Mikulski,0.984
Cardin,Murkowski,0.538
Cardin,Murray,0.951
Cardin,Nelson (FL),0.929
Cardin,Nelson (NE),0.782
Cardin,Obama,0.935
Cardin,Pryor,0.852
Cardin,Reid,0.918
Cardin,Roberts,0.417
Cardin,Rockefeller,0.866
Cardin,Salazar,0.909
Cardin,Sanders,0.909
Cardin,Schumer,0.966
Cardin,Sessions,0.422
Cardin,Shelby,0.465
Cardin,Smith,0.621
Cardin,Snowe,0.728
Cardin,Specter,0.661
Cardin,Stabenow,0.922
Cardin,Stevens,0.541
Cardin,Sununu,0.446
Cardin,Tester,0.835
Cardin,Thune,0.461
Cardin,Vitter,0.413
Cardin,Voinovich,0.582
Cardin,Warner,0.521
Cardin,Webb,0.885
Cardin,Whitehouse,0.938
Cardin,Wyden,0.955
Carper,Casey,0.905
Carper,Chambliss,0.438
Carper,Clinton,0.887
Carper,Coburn,0.349
Carper,Cochran,0.515
Carper,Coleman,0.64
Carper,Collins,0.715
Carper,Conrad,0.872
Carper,Corker,0.488
Carper,Cornyn,0.421
Carper,Crapo,0.452
Carper,DeMint,0.353
Carper,Dodd,0.902
Carper,Dole,0.418
Carper,Domenici,0.552
Carper,Dorgan,0.81
Carper,Durbin,0.893
Carper,Ensign,0.413
Carper,Enzi,0.403
Carper,Feingold,0.847
Carper,Feinstein,0.901
Carper,Graham,0.485
Carper,Grassley,0.5
Carper,Gregg,0.445
Carper,Hagel,0.554
Carper,Harkin,0.872
Carper,Hatch,0.464
Carper,Hutchison,0.463
Carper,Inhofe,0.365
Carper,Inouye,0.88
Carper,Isakson,0.463
Carper,Kennedy,0.875
Carper,Kerry,0.88
Carper,Klobuchar,0.913
Carper,Kohl,0.913
Carper,Kyl,0.454
Carper,Landrieu,0.814
Carper,Lautenberg,0.888
Carper,Leahy,0.88
Carper,Lieberman,0.872
Carper,Lincoln,0.884
Carper,Lott,0.467
Carper,Lugar,0.628
Carper,Martinez,0.485
Carper,McCain,0.517
Carper,McCaskill,0.789
Carper,McConnell,0.471
Carper,Menendez,0.897
Carper,Mikulski,0.909
Carper,Murkowski,0.588
Carper,Murray,0.884
Carper,Nelson (FL),0.884
Carper,Nelson (NE),0.789
Carper,Obama,0.876
Carper,Pryor,0.851
Carper,Reed,0.917
Carper,Reid,0.876
Carper,Roberts,0.464
Carper,Rockefeller,0.828
Carper,Salazar,0.909
Carper,Sanders,0.864
Carper,Schumer,0.885
Carper,Sessions,0.447
Carper,Shelby,0.479
Carper,Smith,0.636
Carper,Snowe,0.748
Carper,Specter,0.682
Carper,Stabenow,0.847
Carper,Stevens,0.584
Carper,Sununu,0.479
Carper,Tester,0.814
Carper,Thune,0.492
Carper,Vitter,0.404
Carper,Voinovich,0.624
Carper,Warner,0.541
Carper,Webb,0.851
Carper,Whitehouse,0.913
Carper,Wyden,0.913
Casey,Chambliss,0.392
Casey,Clinton,0.95
Casey,Coburn,0.325
Casey,Cochran,0.448
Casey,Coleman,0.599
Casey,Collins,0.678
Casey,Conrad,0.905
Casey,Corker,0.453
Casey,Cornyn,0.366
Casey,Craig,0.444
Casey,Crapo,0.413
Casey,DeMint,0.324
Casey,Dodd,0.934
Casey,Dole,0.388
Casey,Domenici,0.527
Casey,Dorgan,0.868
Casey,Durbin,0.959
Casey,Ensign,0.37
Casey,Enzi,0.35
Casey,Feingold,0.898
Casey,Feinstein,0.918
Casey,Graham,0.43
Casey,Grassley,0.473
Casey,Gregg,0.395
Casey,Hagel,0.515
Casey,Harkin,0.921
Casey,Hatch,0.414
Casey,Hutchison,0.421
Casey,Inhofe,0.339
Casey,Inouye,0.926
Casey,Isakson,0.416
Casey,Kennedy,0.892
Casey,Kerry,0.923
Casey,Klobuchar,0.935
Casey,Kohl,0.951
Casey,Landrieu,0.86
Casey,Lautenberg,0.954
Casey,Leahy,0.926
Casey,Levin,0.95
Casey,Lieberman,0.876
Casey,Lincoln,0.884
Casey,Lott,0.408
Casey,Lugar,0.559
Casey,Martinez,0.448
Casey,McCain,0.483
Casey,McCaskill,0.849
Casey,McConnell,0.408
Casey,Menendez,0.939
Casey,Mikulski,0.934
Casey,Murkowski,0.521
Casey,Murray,0.943
Casey,Nelson (FL),0.942
Casey,Nelson (NE),0.799
Casey,Obama,0.949
Casey,Pryor,0.833
Casey,Reed,0.951
Casey,Reid,0.914
Casey,Roberts,0.409
Casey,Rockefeller,0.875
Casey,Salazar,0.906
Casey,Sanders,0.905
Casey,Schumer,0.94
Casey,Sessions,0.409
Casey,Shelby,0.447
Casey,Smith,0.609
Casey,Snowe,0.718
Casey,Specter,0.653
Casey,Stevens,0.515
Casey,Sununu,0.442
Casey,Tester,0.844
Casey,Thune,0.453
Casey,Vitter,0.413
Casey,Voinovich,0.578
Casey,Warner,0.504
Casey,Webb,0.898
Casey,Whitehouse,0.947
Casey,Wyden,0.93
Chambliss,Clinton,0.381
Chambliss,Coburn,0.811
Chambliss,Cochran,0.846
Chambliss,Coleman,0.738
Chambliss,Collins,0.646
Chambliss,Conrad,0.429
Chambliss,Corker,0.842
Chambliss,Cornyn,0.908
Chambliss,Craig,0.871
Chambliss,Crapo,0.87
Chambliss,DeMint,0.853
Chambliss,Dodd,0.339
Chambliss,Dole,0.879
Chambliss,Domenici,0.791
Chambliss,Dorgan,0.45
Chambliss,Durbin,0.388
Chambliss,Ensign,0.889
Chambliss,Enzi,0.858
Chambliss,Feingold,0.396
Chambliss,Feinstein,0.421
Chambliss,Graham,0.84
Chambliss,Grassley,0.846
Chambliss,Gregg,0.782
Chambliss,Hagel,0.745
Chambliss,Harkin,0.404
Chambliss,Hatch,0.845
Chambliss,Hutchison,0.858
Chambliss,Inhofe,0.867
Chambliss,Inouye,0.369
Chambliss,Isakson,0.971
Chambliss,Kennedy,0.408
Chambliss,Kerry,0.421
Chambliss,Klobuchar,0.408
Chambliss,Kohl,0.4
Chambliss,Landrieu,0.504
Chambliss,Lautenberg,0.379
Chambliss,Leahy,0.396
Chambliss,Levin,0.404
Chambliss,Lieberman,0.446
Chambliss,Lincoln,0.442
Chambliss,Lott,0.842
Chambliss,Lugar,0.75
Chambliss,Martinez,0.833
Chambliss,McCain,0.867
Chambliss,McCaskill,0.488
Chambliss,McConnell,0.888
Chambliss,Menendez,0.383
Chambliss,Mikulski,0.421
Chambliss,Murkowski,0.792
Chambliss,Murray,0.408
Chambliss,Nelson (FL),0.417
Chambliss,Nelson (NE),0.538
Chambliss,Obama,0.373
Chambliss,Pryor,0.504
Chambliss,Reed,0.392
Chambliss,Reid,0.429
Chambliss,Roberts,0.847
Chambliss,Rockefeller,0.427
Chambliss,Salazar,0.454
Chambliss,Sanders,0.392
Chambliss,Schumer,0.387
Chambliss,Sessions,0.84
Chambliss,Shelby,0.842
Chambliss,Smith,0.721
Chambliss,Snowe,0.604
Chambliss,Specter,0.671
Chambliss,Stabenow,0.425
Chambliss,Sununu,0.833
Chambliss,Tester,0.475
Chambliss,Thune,0.871
Chambliss,Vitter,0.849
Chambliss,Voinovich,0.726
Chambliss,Warner,0.792
Chambliss,Webb,0.438
Chambliss,Whitehouse,0.383
Chambliss,Wyden,0.4
Clinton,Coburn,0.307
Clinton,Cochran,0.439
Clinton,Coleman,0.603
Clinton,Collins,0.661
Clinton,Conrad,0.891
Clinton,Corker,0.452
Clinton,Cornyn,0.364
Clinton,Craig,0.431
Clinton,Crapo,0.396
Clinton,DeMint,0.311
Clinton,Dodd,0.934
Clinton,Dole,0.366
Clinton,Domenici,0.523
Clinton,Dorgan,0.862
Clinton,Durbin,0.971
Clinton,Ensign,0.362
Clinton,Enzi,0.336
Clinton,Feinstein,0.946
Clinton,Graham,0.418
Clinton,Grassley,0.439
Clinton,Gregg,0.395
Clinton,Hagel,0.489
Clinton,Harkin,0.941
Clinton,Hatch,0.406
Clinton,Hutchison,0.41
Clinton,Inhofe,0.322
Clinton,Inouye,0.931
Clinton,Isakson,0.402
Clinton,Kennedy,0.895
Clinton,Kerry,0.901
Clinton,Klobuchar,0.941
Clinton,Kohl,0.941
Clinton,Kyl,0.387
Clinton,Landrieu,0.82
Clinton,Lautenberg,0.946
Clinton,Leahy,0.908
Clinton,Levin,0.941
Clinton,Lieberman,0.866
Clinton,Lincoln,0.866
Clinton,Lott,0.402
Clinton,Lugar,0.552
Clinton,Martinez,0.439
Clinton,McCain,0.467
Clinton,McCaskill,0.841
Clinton,McConnell,0.41
Clinton,Menendez,0.941
Clinton,Mikulski,0.937
Clinton,Murkowski,0.519
Clinton,Murray,0.954
Clinton,Nelson (FL),0.925
Clinton,Nelson (NE),0.782
Clinton,Obama,0.935
Clinton,Pryor,0.82
Clinton,Reed,0.925
Clinton,Reid,0.929
Clinton,Roberts,0.396
Clinton,Rockefeller,0.871
Clinton,Sanders,0.908
Clinton,Schumer,0.949
Clinton,Sessions,0.397
Clinton,Shelby,0.431
Clinton,Smith,0.611
Clinton,Snowe,0.695
Clinton,Specter,0.649
Clinton,Stabenow,0.925
Clinton,Stevens,0.502
Clinton,Sununu,0.439
Clinton,Tester,0.828
Clinton,Thune,0.452
Clinton,Vitter,0.382
Clinton,Voinovich,0.57
Clinton,Warner,0.506
Clinton,Webb,0.912
Clinton,Whitehouse,0.933
Clinton,Wyden,0.925
Coburn,Cochran,0.726
Coburn,Coleman,0.632
Coburn,Collins,0.594
Coburn,Conrad,0.373
Coburn,Corker,0.797
Coburn,Cornyn,0.84
Coburn,Craig,0.774
Coburn,Crapo,0.745
Coburn,DeMint,0.887
Coburn,Dodd,0.23
Coburn,Dole,0.797
Coburn,Domenici,0.66
Coburn,Dorgan,0.387
Coburn,Durbin,0.311
Coburn,Ensign,0.835
Coburn,Enzi,0.769
Coburn,Feingold,0.335
Coburn,Feinstein,0.311
Coburn,Graham,0.783
Coburn,Grassley,0.802
Coburn,Gregg,0.788
Coburn,Hagel,0.651
Coburn,Harkin,0.325
Coburn,Hatch,0.769
Coburn,Hutchison,0.774
Coburn,Inhofe,0.844
Coburn,Inouye,0.255
Coburn,Isakson,0.816
Coburn,Kennedy,0.307
Coburn,Kerry,0.325
Coburn,Klobuchar,0.297
Coburn,Kohl,0.302
Coburn,Kyl,0.783
Coburn,Landrieu,0.439
Coburn,Lautenberg,0.307
Coburn,Leahy,0.307
Coburn,Levin,0.307
Coburn,Lieberman,0.354
Coburn,Lincoln,0.34
Coburn,Lott,0.75
Coburn,Lugar,0.651
Coburn,Martinez,0.774
Coburn,McCain,0.742
Coburn,McCaskill,0.434
Coburn,McConnell,0.797
Coburn,Menendez,0.297
Coburn,Mikulski,0.33
Coburn,Murkowski,0.675
Coburn,Murray,0.335
Coburn,Nelson (FL),0.34
Coburn,Nelson (NE),0.467
Coburn,Pryor,0.415
Coburn,Reed,0.302
Coburn,Reid,0.33
Coburn,Roberts,0.769
Coburn,Rockefeller,0.354
Coburn,Salazar,0.335
Coburn,Sanders,0.311
Coburn,Schumer,0.307
Coburn,Sessions,0.811
Coburn,Shelby,0.802
Coburn,Smith,0.637
Coburn,Snowe,0.552
Coburn,Specter,0.571
Coburn,Stabenow,0.33
Coburn,Stevens,0.675
Coburn,Sununu,0.811
Coburn,Tester,0.406
Coburn,Thune,0.792
Coburn,Vitter,0.731
Coburn,Voinovich,0.642
Coburn,Warner,0.698
Coburn,Webb,0.363
Coburn,Whitehouse,0.297
Coburn,Wyden,0.316
Cochran,Coleman,0.759
Cochran,Collins,0.676
Cochran,Conrad,0.51
Cochran,Corker,0.813
Cochran,Cornyn,0.851
Cochran,Craig,0.846
Cochran,Crapo,0.87
Cochran,DeMint,0.786
Cochran,Dodd,0.454
Cochran,Dole,0.815
Cochran,Domenici,0.828
Cochran,Dorgan,0.519
Cochran,Durbin,0.444
Cochran,Ensign,0.817
Cochran,Enzi,0.863
Cochran,Feingold,0.419
Cochran,Feinstein,0.477
Cochran,Graham,0.793
Cochran,Grassley,0.797
Cochran,Gregg,0.756
Cochran,Hagel,0.74
Cochran,Harkin,0.469
Cochran,Hatch,0.887
Cochran,Hutchison,0.829
Cochran,Inhofe,0.803
Cochran,Inouye,0.447
Cochran,Isakson,0.867
Cochran,Kennedy,0.475
Cochran,Kerry,0.476
Cochran,Klobuchar,0.49
Cochran,Kohl,0.465
Cochran,Kyl,0.794
Cochran,Landrieu,0.556
Cochran,Lautenberg,0.444
Cochran,Leahy,0.465
Cochran,Levin,0.469
Cochran,Lieberman,0.51
Cochran,Lincoln,0.506
Cochran,Lott,0.863
Cochran,Lugar,0.759
Cochran,Martinez,0.793
Cochran,McCain,0.817
Cochran,McCaskill,0.502
Cochran,McConnell,0.896
Cochran,Menendez,0.448
Cochran,Mikulski,0.485
Cochran,Murkowski,0.871
Cochran,Murray,0.473
Cochran,Nelson (FL),0.473
Cochran,Nelson (NE),0.589
Cochran,Pryor,0.593
Cochran,Reed,0.469
Cochran,Reid,0.49
Cochran,Roberts,0.868
Cochran,Rockefeller,0.496
Cochran,Salazar,0.535
Cochran,Sanders,0.473
Cochran,Schumer,0.451
Cochran,Sessions,0.802
Cochran,Shelby,0.842
Cochran,Smith,0.705
Cochran,Snowe,0.651
Cochran,Specter,0.734
Cochran,Stabenow,0.481
Cochran,Stevens,0.879
Cochran,Sununu,0.78
Cochran,Tester,0.531
Cochran,Thune,0.797
Cochran,Vitter,0.787
Cochran,Voinovich,0.713
Cochran,Warner,0.822
Cochran,Webb,0.477
Cochran,Whitehouse,0.465
Cochran,Wyden,0.481
Coleman,Collins,0.826
Coleman,Conrad,0.64
Coleman,Corker,0.76
Coleman,Cornyn,0.736
Coleman,Craig,0.777
Coleman,Crapo,0.783
Coleman,DeMint,0.664
Coleman,Dodd,0.617
Coleman,Dole,0.724
Coleman,Domenici,0.799
Coleman,Dorgan,0.653
Coleman,Durbin,0.599
Coleman,Ensign,0.732
Coleman,Enzi,0.717
Coleman,Feingold,0.554
Coleman,Feinstein,0.612
Coleman,Graham,0.713
Coleman,Grassley,0.764
Coleman,Gregg,0.689
Coleman,Hagel,0.697
Coleman,Harkin,0.612
Coleman,Hatch,0.77
Coleman,Hutchison,0.738
Coleman,Inhofe,0.661
Coleman,Inouye,0.59
Coleman,Isakson,0.764
Coleman,Kennedy,0.621
Coleman,Kerry,0.618
Coleman,Klobuchar,0.64
Coleman,Kohl,0.624
Coleman,Kyl,0.681
Coleman,Landrieu,0.636
Coleman,Lautenberg,0.589
Coleman,Leahy,0.591
Coleman,Levin,0.587
Coleman,Lieberman,0.636
Coleman,Lincoln,0.647
Coleman,Lott,0.746
Coleman,Lugar,0.802
Coleman,Martinez,0.743
Coleman,McCain,0.733
Coleman,McConnell,0.789
Coleman,Mikulski,0.603
Coleman,Murkowski,0.829
Coleman,Murray,0.616
Coleman,Nelson (FL),0.61
Coleman,Nelson (NE),0.727
Coleman,Obama,0.562
Coleman,Pryor,0.682
Coleman,Reed,0.599
Coleman,Reid,0.603
Coleman,Roberts,0.779
Coleman,Rockefeller,0.629
Coleman,Salazar,0.678
Coleman,Sanders,0.583
Coleman,Schumer,0.591
Coleman,Sessions,0.73
Coleman,Shelby,0.736
Coleman,Smith,0.814
Coleman,Snowe,0.777
Coleman,Specter,0.802
Coleman,Stabenow,0.599
Coleman,Stevens,0.805
Coleman,Sununu,0.731
Coleman,Tester,0.657
Coleman,Thune,0.798
Coleman,Vitter,0.68
Coleman,Voinovich,0.688
Coleman,Warner,0.798
Coleman,Webb,0.616
Coleman,Whitehouse,0.599
Coleman,Wyden,0.607
